50 Maiores Bancos e o Consolidado do Sistema Financeiro Nacional;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Arquivo Completo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Data-base: Março/2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Balancetes processados até: 05/05/2013
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CI;TCB;Instituições;TD;TC;Obs;Data;Cidade;UF;Ativo Total (-);Ativo;Disponibilidades;Aplicações;TVM e Instrumentos;Relações;Relações;Oper, Créd, e Arrend, Mercantil;;Coobrigações em;Outros;Outros;Imobilizado de;Permanente;Passivo;Depósitos;Depósitos;Depósitos;Depósitos;Depósitos;Depósitos;Captações no;Recursos de Aceites e Emissão de Títulos;Recursos de Aceites e Emissão de Títulos;Recursos de Aceites e Emissão de Títulos;Relações;Relações;Obrigações por;Instrumentos Financeiros;Outras Obrigações e;Patrimônio;PR nível 1;Lucro;Receitas de Intermediação Financeira;Receitas de Intermediação Financeira;Receitas de Intermediação Financeira;Receitas de Intermediação Financeira;Receitas de Intermediação Financeira;Receitas de Intermediação Financeira;Receitas de Intermediação Financeira;Despesas de Intermediação Financeira;Despesas de Intermediação Financeira;Despesas de Intermediação Financeira;Despesas de Intermediação Financeira;Despesas de Intermediação Financeira;Despesas de Intermediação Financeira;Resultado;Outras Receitas/Despesas Operacionais;Outras Receitas/Despesas Operacionais;Outras Receitas/Despesas Operacionais;Outras Receitas/Despesas Operacionais;Outras Receitas/Despesas Operacionais;Outras Receitas/Despesas Operacionais;Outras Receitas/Despesas Operacionais;Outras Receitas/Despesas Operacionais;Resultado;Resultado não;Resultado antes;IR e;Particip,;Lucro;Nº de;Nº de;Data DLO;Índice de;Índice de ;;
;;;;;;Balancete;;;Intermediação;Total;;Interfinanceiras;Financeiros Derivativos;Interfinanceiras;Interdependências;Total;Provisão p/ CL;cessões de crédito (**);Créditos;Valores e Bens;Arrendamento;(*);Exigível;À Vista;Poupança;Interfinanceiros;A Prazo;Outros;Total;Mercado Aberto;Letras Financeiras;Outros;Total;Interfinanceiras;Interdependências;Empréstimos e Repasses;Derivativos;Exercícios Futuros;Líquido;;Líquido;Operações de;Operações de;Operações com tít,;Operações com instrum,;Operações de;Aplicações;Operações de venda ou de;Captações;Empréstimos;Arrendam,;Operações;Operações de venda ou de;Provisão;Bruto;Receitas de;Rendas de;Despesas de;Outras;Despesas;Result, de Part,;Outras;Outras;Operacional;Operacional;da Tributação;Contrib;nos Lucros;Líquido;Func,;Agências;; Basiléia;imobilização;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;crédito;arrend, mercantil;val, mobiliários;financ, derivativos;Câmbio;Compulsórias;transf, de ativos financeiros;no mercado;e repasses;mercantil;de câmbio;transf, de ativos financeiros;para CL;;Prestação de Serviços;tarifas bancárias;Pessoal;Despesas Administ,;Tributárias;em Coligadas e Controladas;Receitas Operacionais;Despesas Operacionais;;;Lucro e Part,;Social;;;;;;;;;
99000000;B-I;BB;C;1;1;201303;BRASILIA;DF;932.047.226;1.111.011.902;12.813.631;236.316.518;117.294.746;85.548.696;151.543;500.633.317;-20.853.424;138.933;144.741.009;2.179.609;3.534.747;28.651.510;1.048.583.523;67.510.116;122.589.208;17.878.658;253.054.848;7.711.901;468.744.731;242.347.182;8.742.505;66.821.585;75.564.090;3.155.607;2.571.975;79.289.790;3.466.674;173.443.473;62.428.380;73.271.941;2.619.662;16.277.626;427.056;5.855.633;-304.763;397.788;993.144;88.769;-11.680.724;-1.021.503;-386.243;0;-15.027;-3.227.737;7.404.019;2.824.540;1.565.809;-4.273.548;-3.746.745;-950.827;503.689;2.749.986;-2.337.055;3.739.868;3.913;3.743.781;-761.124;-362.994;2.619.662;128.811;5.392;201303;16,6;24,7;;
10069;B-I;ITAU;C;2;;201303;SAO PAULO;SP;858.351.364;964.877.602;13.613.986;192.881.284;173.975.369;66.166.886;55.186;317.332.179;-26.116.530;429.007;133.172.307;2.566.548;33.963.959;57.266.429;881.793.673;39.616.261;87.071.786;8.453.760;109.806.811;445.239;245.393.857;301.782.149;36.479.514;34.099.605;70.579.119;5.123.445;4.130.323;62.442.431;8.776.948;183.565.401;83.083.929;80.912.489;3.028.999;15.003.677;3.284.454;4.737.668;670.637;173.534;871.519;96.110;-8.150.779;-629.877;-2.977.220;0;-4.196;-4.940.569;8.134.958;2.828.495;1.601.035;-2.568.097;-3.563.095;-966.015;896.708;4.256.204;-5.320.336;5.299.857;141.762;5.441.619;-810.090;-1.602.532;3.028.999;119.381;3.871;201303;18,9;47,2;;
10045;B-I;BRADESCO;C;2;;201303;OSASCO;SP;639.000.773;773.624.165;11.228.879;171.134.601;153.305.512;53.153.123;959.590;268.633.695;-20.497.020;703.949;74.911.356;2.987.320;15.209.646;42.597.463;703.996.290;36.028.020;70.162.669;488.601;100.047.702;50.046;206.777.038;284.260.522;31.045.422;22.434.062;53.479.484;2.346.687;2.810.955;46.199.569;2.590.546;105.531.489;69.627.875;67.783.029;2.923.442;12.243.860;2.107.273;5.748.844;100.064;138.414;662.938;32.849;-7.973.690;-587.478;-1.901.000;0;8.507;-3.459.018;7.121.563;1.878.553;1.356.748;-2.553.543;-3.414.707;-843.236;1.053.576;1.550.784;-2.450.938;3.698.800;-48.711;3.650.089;-726.647;0;2.923.442;98.880;4.696;201303;15,6;43,7;;
360305;B-I;CAIXA ECONOMICA FEDERAL;I;1;;201303;BRASILIA;DF;690.287.047;731.083.735;7.070.275;69.246.912;139.953.008;98.966.360;583.776;382.626.695;-20.429.328;0;43.987.535;958.945;0;8.119.556;705.651.734;24.620.275;181.534.284;277.509;105.112.467;11.758.603;323.303.139;102.372.864;19.841.010;36.941.442;56.782.452;1.606.260;425.901;132.281.788;535;88.878.795;25.432.000;29.018.631;1.310.110;9.888.997;0;3.582.967;416.215;0;1.249.203;77.525;-6.644.042;-1.917.262;0;-7.719;-47.615;-2.080.451;4.517.818;3.149.331;602.274;-3.727.703;-2.170.681;-530.521;59.683;2.497.277;-2.991.155;1.406.323;-50.842;1.355.481;144.564;-189.934;1.310.110;119.696;2.972;201303;14,2;12,1;;
30379;B-I;SANTANDER;C;3;;201303;SAO PAULO;SP;442.322.283;459.324.606;5.170.356;47.249.712;75.034.562;34.003.958;1.218;187.162.324;-14.888.615;543.274;88.569.057;1.629.350;11.236.031;24.156.654;395.461.816;12.644.471;27.915.328;3.473.945;78.901.056;93.158;123.027.958;86.531.652;26.804.421;29.705.083;56.509.504;1.710.168;1.260.814;25.553.920;4.107.109;96.760.691;63.862.790;63.294.437;640.161;9.322.474;1.009.929;2.986.478;1.020.335;0;486.477;6.024;-5.255.679;-208.562;-1.258.756;-202.357;20.699;-3.678.960;4.248.102;1.898.052;711.195;-1.486.789;-3.081.081;-774.819;37.628;2.235.377;-3.157.844;629.821;500.617;1.130.438;-250.949;-239.329;640.161;52.962;2.591;201303;21,5;33,7;;
51152;B-I;HSBC;C;3;;201303;CURITIBA;PR;138.680.007;141.878.467;3.171.636;22.142.639;21.442.280;10.507.334;703;50.677.737;-3.442.970;68.566;30.461.540;325.650;2.243.197;4.348.722;131.796.908;10.134.360;5.955.413;284.228;35.406.204;222.663;52.002.868;7.254.172;17.111.459;6.034.369;23.145.828;850.690;704.306;10.230.344;5.187.039;32.421.660;10.081.559;9.980.436;259.209;2.525.158;332.452;661.933;123.072;0;121.130;1.750;-1.170.737;-128.550;-285.095;-74.448;-3.157;-722.990;1.380.518;240.838;378.557;-672.124;-967.400;-157.589;112.803;411.166;-313.505;413.264;-4.947;408.317;-55.092;-94.016;259.209;29.714;869;201303;13,0;33,2;;
10083;B-I;SAFRA;C;2;;201303;SAO PAULO;SP;122.215.540;124.587.242;500.998;26.798.541;34.970.586;1.400.710;3.705;41.871.919;-1.766.849;0;16.319.458;145.044;2.174.314;2.168.817;117.469.674;655.112;1.321.061;3.766.884;4.760.165;228;10.503.450;54.939.992;11.278.312;6.161.667;17.439.979;300.974;154.928;11.686.950;4.792.255;17.651.146;7.117.568;7.081.632;258.042;1.282.237;357.778;1.274.574;-58.306;65.468;13.682;0;-1.330.045;-124.022;-347.122;0;-33;-359.158;775.053;90.506;53.568;-225.754;-182.246;-87.404;27.139;207.645;-128.914;529.593;442;530.035;-271.994;0;258.042;5.882;106;201303;14,1;23,3;;
51011;B-I;VOTORANTIM;C;2;;201303;SAO PAULO;SP;110.880.443;121.919.333;1.639.249;16.171.306;36.827.482;781.370;0;53.968.341;-3.941.915;16.730.995;11.220.932;1.168.155;3.748.966;335.447;114.248.561;320.400;0;2.756.196;9.416.094;0;12.492.691;40.913.730;11.698.680;10.862.902;22.561.582;6.119;48.706;9.698.303;2.526.916;26.000.513;7.670.772;7.595.235;-278.145;1.928.810;451.420;1.061.115;167.688;10.928;13.658;5;-1.503.252;-151.908;-449.622;0;-203.426;-1.004.400;321.016;109.037;129.442;-227.866;-380.696;-100.072;24.380;400.239;-678.444;-402.964;-18.010;-420.974;204.554;-61.727;-278.145;1.529;39;201303;13,6;2,5;;
