50 Maiores Bancos e o Consolidado do Sistema Financeiro Nacional;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Arquivo Completo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Data-base: Junho/2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Balancetes processados até: 27/08/2013
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Valores em milhares de R$;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CI;TCB;Instituições;TD;TC;Obs;Data;Cidade;UF;Ativo Total (-);Ativo;Disponibilidades;Aplicações;TVM e Instrumentos;Relações;Relações;Oper, Créd, e Arrend, Mercantil;;Coobrigações em;Outros;Outros;Imobilizado de;Permanente;Passivo;Depósitos;Depósitos;Depósitos;Depósitos;Depósitos;Depósitos;Captações no;Recursos de Aceites e Emissão de Títulos;Recursos de Aceites e Emissão de Títulos;Recursos de Aceites e Emissão de Títulos;Relações;Relações;Obrigações por;Instrumentos Financeiros;Outras Obrigações e;Patrimônio;PR nível 1;Lucro;Receitas de Intermediação Financeira;Receitas de Intermediação Financeira;Receitas de Intermediação Financeira;Receitas de Intermediação Financeira;Receitas de Intermediação Financeira;Receitas de Intermediação Financeira;Receitas de Intermediação Financeira;Despesas de Intermediação Financeira;Despesas de Intermediação Financeira;Despesas de Intermediação Financeira;Despesas de Intermediação Financeira;Despesas de Intermediação Financeira;Despesas de Intermediação Financeira;Resultado;Outras Receitas/Despesas Operacionais;Outras Receitas/Despesas Operacionais;Outras Receitas/Despesas Operacionais;Outras Receitas/Despesas Operacionais;Outras Receitas/Despesas Operacionais;Outras Receitas/Despesas Operacionais;Outras Receitas/Despesas Operacionais;Outras Receitas/Despesas Operacionais;Resultado;Resultado não;Resultado antes;IR e;Particip,;Lucro;Nº de;Nº de;Data DLO;Índice de;Índice de ;;
;;;;;;Balancete;;;Intermediação;Total;;Interfinanceiras;Financeiros Derivativos;Interfinanceiras;Interdependências;Total;Provisão p/ CL;cessões de crédito (**);Créditos;Valores e Bens;Arrendamento;(*);Exigível;À Vista;Poupança;Interfinanceiros;A Prazo;Outros;Total;Mercado Aberto;Letras Financeiras;Outros;Total;Interfinanceiras;Interdependências;Empréstimos e Repasses;Derivativos;Exercícios Futuros;Líquido;;Líquido;Operações de;Operações de;Operações com tít,;Operações com instrum,;Operações de;Aplicações;Operações de venda ou de;Captações;Empréstimos;Arrendam,;Operações;Operações de venda ou de;Provisão;Bruto;Receitas de;Rendas de;Despesas de;Outras;Despesas;Result, de Part,;Outras;Outras;Operacional;Operacional;da Tributação;Contrib;nos Lucros;Líquido;Func,;Agências;; Basiléia;imobilização;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;crédito;arrend, mercantil;val, mobiliários;financ, derivativos;Câmbio;Compulsórias;transf, de ativos financeiros;no mercado;e repasses;mercantil;de câmbio;transf, de ativos financeiros;para CL;;Prestação de Serviços;tarifas bancárias;Pessoal;Despesas Administ,;Tributárias;em Coligadas e Controladas;Receitas Operacionais;Despesas Operacionais;;;Lucro e Part,;Social;;;;;;;;;
99000000;B-I;BB;C;1;1;201306;BRASILIA;DF;953.273.958;1.140.056.761;14.115.784;222.742.019;122.843.717;86.289.047;139.510;536.681.882;-21.030.035;108.899;146.176.894;2.040.121;3.060.588;26.997.235;1.076.873.860;71.673.006;129.003.316;19.914.762;251.410.444;6.749.727;478.751.254;240.018.755;8.802.077;77.007.048;85.809.125;2.983.977;2.561.443;84.680.847;4.150.513;177.917.945;63.182.901;74.607.192;10.120.867;33.426.426;889.565;13.421.682;890.473;325.539;2.065.792;249.333;-24.339.213;-5.837.871;-808.336;0;-78.397;-7.525.768;12.679.225;5.991.434;3.242.648;-8.602.043;-8.775.494;-1.893.390;1.709.058;5.084.394;-4.029.884;5.405.948;9.902.155;15.308.103;-3.868.613;-1.318.622;10.120.867;125.733;5.403;201306;15,9;22,8;;
10069;B-I;ITAU;C;2;;201306;SAO PAULO;SP;893.973.389;990.297.225;14.531.120;178.223.051;185.905.428;69.792.166;62.776;327.004.626;-25.338.593;396.240;149.656.351;2.410.061;29.868.769;58.181.470;906.052.895;45.279.417;92.324.244;7.067.256;107.529.427;463.034;252.663.377;295.224.261;36.552.275;34.822.869;71.375.144;4.123.813;4.217.121;68.665.761;12.430.892;197.352.526;84.244.330;83.191.281;6.166.891;31.580.001;6.562.343;9.993.249;-807.925;1.277.664;1.847.306;208.911;-19.395.468;-2.444.989;-6.126.586;0;-4.971;-9.815.768;12.873.767;5.867.232;3.316.041;-5.123.060;-7.263.613;-1.701.962;3.187.603;7.338.302;-10.321.500;8.172.810;317.598;8.490.408;-60.513;-2.263.003;6.166.891;117.288;3.881;201306;18,3;47,4;;
360305;B-I;CAIXA ECONOMICA FEDERAL;I;1;;201306;BRASILIA;DF;740.010.691;814.487.216;6.097.970;90.986.245;155.309.619;102.837.874;345.153;422.616.847;-21.330.711;0;47.883.811;1.061.738;0;8.678.669;788.874.665;25.237.342;189.699.809;277.949;113.617.276;13.616.979;342.449.356;136.321.463;19.971.445;44.948.304;64.919.749;1.639.680;716.526;140.849.877;524;101.977.491;25.612.551;29.605.199;3.140.602;20.825.234;0;6.565.552;1.958.184;0;2.898.931;177.660;-14.520.923;-4.117.252;0;-185.486;-93.140;-4.321.628;9.187.132;6.574.590;1.257.222;-7.513.950;-4.514.690;-1.128.031;153.478;5.316.337;-6.221.272;3.110.816;-14.699;3.096.117;424.797;-380.311;3.140.602;122.260;3.082;201306;14,7;13;;
10045;B-I;BRADESCO;C;2;;201306;OSASCO;SP;658.354.128;770.792.629;15.995.135;147.289.564;161.699.435;51.590.524;649.691;275.166.485;-20.498.700;662.127;80.836.766;3.118.588;13.577.251;41.367.890;704.575.890;36.786.301;72.627.265;703.387;99.237.110;65.001;209.419.065;270.694.370;37.610.691;21.961.265;59.571.956;1.105.838;2.777.590;49.110.363;3.142.043;108.754.667;66.216.739;69.701.869;5.878.731;25.327.173;4.327.663;13.477.641;-1.567.967;1.255.228;1.362.550;71.271;-17.783.205;-4.686.697;-3.919.741;0;16.025;-7.041.777;10.838.164;3.976.058;2.801.646;-5.173.791;-6.948.494;-1.391.019;4.689.337;1.704.002;-4.709.012;5.786.891;28.094;5.814.985;63.748;0;5.878.731;98.232;4.701;201306;15,4;44,3;;
30379;B-I;SANTANDER;C;3;;201306;SAO PAULO;SP;465.535.887;478.124.605;4.438.299;44.341.315;80.743.048;34.317.485;996;191.485.769;-14.577.639;488.655;102.054.463;1.783.659;10.232.453;23.304.756;413.515.186;13.315.720;29.293.118;3.603.722;80.224.699;95.476;126.532.735;85.876.977;30.353.215;32.322.562;62.675.777;1.414.430;984.246;26.363.931;5.650.649;104.016.441;64.609.419;64.571.293;1.170.839;18.765.506;1.999.883;5.548.524;-175.144;180.361;978.919;12.038;-12.004.190;-816.827;-2.529.906;0;20.973;-7.243.130;4.737.007;3.811.587;1.430.397;-2.964.022;-6.279.004;-1.353.565;196.419;5.536.943;-5.601.260;-485.498;912.049;426.551;1.208.372;-464.084;1.170.839;51.247;2.612;201306;21,5;32,3;;
51152;B-I;HSBC;C;3;;201306;CURITIBA;PR;141.422.587;143.804.238;2.327.292;15.982.386;24.611.868;10.406.385;2.062;51.970.871;-3.581.307;63.272;35.443.655;299.075;1.904.513;4.437.439;133.666.413;11.040.516;6.315.133;277.135;33.716.958;240.843;51.590.585;6.038.850;16.155.187;6.477.227;22.632.414;776.036;695.893;10.645.662;4.722.954;36.564.019;10.137.826;10.215.845;454.641;5.029.205;677.469;1.539.485;284.588;0;247.138;3.314;-2.494.954;-282.478;-590.815;-2.816;-5.602;-1.806.266;2.598.268;507.075;759.429;-1.408.661;-1.981.820;-319.601;246.206;938.213;-768.420;570.689;-18.158;552.531;90.109;-188.002;454.641;29.113;869;201306;13,5;33,4;;
10083;B-I;SAFRA;C;2;;201306;SAO PAULO;SP;128.745.064;131.084.907;377.042;26.058.469;39.109.708;1.286.856;3.775;42.995.727;-1.425.099;0;18.543.727;171.184;1.787.618;2.175.899;124.008.053;696.244;1.317.566;3.034.823;3.908.987;260;8.957.881;56.622.057;12.316.377;6.651.934;18.968.311;1.561.567;145.267;14.333.489;5.330.205;18.089.276;7.076.854;7.103.361;598.484;2.635.645;784.416;2.355.398;-71.773;153.084;29.751;0;-3.123.802;-378.636;-771.955;0;-51;-511.926;1.100.151;184.213;106.204;-464.329;-387.644;-153.191;293.210;333.552;-222.554;789.612;-6.829;782.783;-184.298;0;598.484;5.775;106;201306;14,5;23,3;;
49944;B-I;BTG PACTUAL;C;2;;201306;RIO DE JANEIRO;RJ;93.333.009;124.940.744;579.253;49.840.850;42.378.185;482.233;0;11.062.196;-167.753;0;14.698.948;51.453;0;6.015.379;113.962.918;221.580;0;458.851;18.845.170;0;19.525.601;48.874.603;5.510.753;8.762.749;14.273.502;4.647;0;3.260.439;9.773.771;18.250.356;10.977.826;10.967.658;1.224.796;526.214;0;3.794.133;-516.179;175.130;10.601;5.123;-2.237.029;-1.405.039;0;0;-2.446;-105.519;244.989;1.029.753;22.999;-221.769;-313.968;-135.265;-210.317;1.271.408;-582;1.687.248;1.009;1.688.257;-73.945;-389.516;1.224.796;1.382;10;201306;18,6;33,4;;
51011;B-I;VOTORANTIM;C;2;;201306;SAO PAULO;SP;103.456.846;113.863.414;129.851;14.812.048;33.927.828;399.452;0;53.370.826;-3.656.138;16.008.174;10.120.060;1.090.244;3.309.008;360.234;106.733.027;277.237;0;2.496.090;6.901.400;0;9.674.727;36.433.170;11.707.691;11.541.626;23.249.317;2.612;34.212;8.507.310;2.507.875;26.323.805;7.130.386;7.400.053;-474.151;4.032.866;944.579;1.994.726;1.136.618;145.452;19.402;5;-3.511.635;-539.334;-937.792;0;-647.071;-2.069.319;568.497;242.770;248.190;-478.095;-745.911;-211.498;44.127;614.626;-1.123.656;-840.950;-14.976;-855.926;461.843;-80.069;-474.151;1.508;33;201306;13,9;2,9;;
