50 Maiores Bancos e o Consolidado do Sistema Financeiro Nacional;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Arquivo Completo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Data-base: dezembro/2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Balancetes processados até: 26/03/2014
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CI;TCB;Instituições;TD;TC;Obs;Data;Cidade;UF;Ativo Total (-);Ativo;Disponibilidades;Aplicações;TVM e Instrumentos;Relações;Relações;Oper, Créd, e Arrend, Mercantil;;Coobrigações em;Outros;Outros;Imobilizado de;Permanente;Passivo;Depósitos;Depósitos;Depósitos;Depósitos;Depósitos;Depósitos;Captações no;Recursos de Aceites e Emissão de Títulos;Recursos de Aceites e Emissão de Títulos;Recursos de Aceites e Emissão de Títulos;Relações;Relações;Obrigações por;Instrumentos Financeiros;Outras Obrigações e;Patrimônio;PR nível 1;Lucro;Receitas de Intermediação Financeira;Receitas de Intermediação Financeira;Receitas de Intermediação Financeira;Receitas de Intermediação Financeira;Receitas de Intermediação Financeira;Receitas de Intermediação Financeira;Receitas de Intermediação Financeira;Despesas de Intermediação Financeira;Despesas de Intermediação Financeira;Despesas de Intermediação Financeira;Despesas de Intermediação Financeira;Despesas de Intermediação Financeira;Despesas de Intermediação Financeira;Resultado;Outras Receitas/Despesas Operacionais;Outras Receitas/Despesas Operacionais;Outras Receitas/Despesas Operacionais;Outras Receitas/Despesas Operacionais;Outras Receitas/Despesas Operacionais;Outras Receitas/Despesas Operacionais;Outras Receitas/Despesas Operacionais;Outras Receitas/Despesas Operacionais;Resultado;Resultado não;Resultado antes;IR e;Particip,;Lucro;Nº de;Nº de;Data DLO;Índice de;Índice de ;;
;;;;;;Balancete;;;Intermediação;Total;;Interfinanceiras;Financeiros Derivativos;Interfinanceiras;Interdependências;Total;Provisão p/ CL;cessões de crédito (**);Créditos;Valores e Bens;Arrendamento;(*);Exigível;À Vista;Poupança;Interfinanceiros;A Prazo;Outros;Total;Mercado Aberto;Letras Financeiras;Outros;Total;Interfinanceiras;Interdependências;Empréstimos e Repasses;Derivativos;Exercícios Futuros;Líquido;;Líquido;Operações de;Operações de;Operações com tít,;Operações com instrum,;Operações de;Aplicações;Operações de venda ou de;Captações;Empréstimos;Arrendam,;Operações;Operações de venda ou de;Provisão;Bruto;Receitas de;Rendas de;Despesas de;Outras;Despesas;Result, de Part,;Outras;Outras;Operacional;Operacional;da Tributação;Contrib;nos Lucros;Líquido;Func,;Agências;; Basiléia;imobilização;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
99000000;B-I;BB;C;1;1;201312;BRASILIA;DF;1.053.172.630;1.218.525.361;11.466.552;230.945.228;125.827.223;94.259.938;670.744;583.349.637;-22.719.306;60.959;164.549.762;1.524.989;2.270.641;26.379.955;1.147.988.149;74.512.193;140.728.107;27.155.259;241.478.493;7.475.412;491.349.464;242.103.651;8.757.736;113.799.694;122.557.430;34.862;4.825.540;103.835.390;3.694.409;179.587.404;70.537.212;85.500.898;5.881.780;36.689.287;878.678;16.600.618;265.858;280.359;2.647.125;357.922;-30.563.110;-5.347.147;-785.026;0;-148.668;-8.558.402;12.317.494;6.276.127;3.304.336;-8.933.521;-8.465.065;-3.045.607;1.916.622;9.203.046;-5.234.834;7.338.598;289.753;7.628.351;-912.301;-834.271;5.881.780;124.744;5.451;201312;14,5;23,5;;
10069;B-I;ITAU;C;2;;201312;SAO PAULO;SP;948.455.683;1.027.324.008;16.400.684;152.366.820;205.825.510;78.092.865;7.063;350.693.120;-25.363.613;4.555.342;161.475.004;2.521.945;22.401.883;62.902.726;938.357.806;50.006.936;106.166.141;8.194.490;117.711.568;512.518;282.591.653;306.336.676;24.536.060;32.440.513;56.976.573;613.232;4.503.772;75.906.737;12.080.367;199.348.796;88.966.202;87.409.232;7.770.988;32.762.550;6.135.076;13.434.317;-210.840;1.138.907;2.579.442;262.908;-23.661.982;-2.299.666;-5.897.530;0;-118.190;-8.732.462;15.392.530;6.215.823;3.775.950;-5.518.576;-8.333.798;-2.923.951;3.938.930;10.706.441;-14.003.408;9.249.941;409.776;9.659.717;-432.201;-1.456.529;7.770.988;118.251;3.924;201312;16,5;49,9;;
360305;B-I;CAIXA ECONOMICA FEDERAL;I;1;;201312;BRASILIA;DF;825.716.332;858.475.356;11.480.407;44.904.342;162.666.456;107.537.940;593.239;485.487.787;-23.642.527;0;58.559.210;1.055.445;0;9.833.057;831.101.993;25.165.991;209.573.848;2.353.562;113.801.680;10.160.107;361.055.188;116.574.390;23.404.183;60.418.812;83.822.995;526.624;2.043.376;161.554.112;89.171;105.436.138;27.373.363;59.518.914;3.582.770;25.668.444;0;10.530.574;653.503;0;3.587.139;183.872;-20.366.512;-4.975.180;0;-263.267;-157.927;-4.869.006;9.991.640;7.035.824;1.484.297;-8.412.679;-5.109.768;-1.281.968;207.316;4.908.744;-6.756.027;2.067.379;-4.951;2.062.428;2.203.340;-682.995;3.582.770;126.098;3.289;201312;15,1;12,9;;
10045;B-I;BRADESCO;C;2;;201312;OSASCO;SP;663.463.787;776.724.294;11.881.792;135.303.782;160.442.709;56.145.167;881.481;290.645.062;-20.399.128;1.730.698;83.602.780;3.196.677;11.185.008;43.838.962;705.588.304;40.736.002;80.717.805;968.168;96.526.317;74.591;219.022.884;261.422.084;41.205.708;22.462.734;63.668.442;1.726.273;5.168.567;56.085.702;1.809.100;96.685.253;71.135.989;70.808.080;6.151.489;26.817.409;3.694.695;10.519.320;-724.669;1.074.927;1.776.216;122.136;-21.403.726;-3.578.130;-3.311.796;0;13.894;-6.351.199;8.649.077;4.039.505;3.086.901;-5.628.964;-7.541.281;-1.293.333;4.638.173;4.201.909;-5.329.440;4.822.547;-299.245;4.523.302;1.628.189;0;6.151.489;97.413;4.684;201312;16,6;45,4;;
30379;B-I;SANTANDER;C;3;;201312;SAO PAULO;SP;486.506.058;495.443.913;5.291.427;47.655.144;81.558.184;35.833.328;811;195.090.085;-14.534.223;408.098;112.179.980;1.808.054;8.390.168;22.170.954;431.682.956;15.516.555;33.589.050;3.748.921;81.494.061;118.440;134.467.027;85.824.660;30.853.503;35.885.577;66.739.080;63.719;2.770.892;29.648.346;5.840.819;106.328.414;63.760.958;63.486.309;1.075.564;19.938.460;1.796.554;6.805.581;677.899;0;1.333.532;5.197;-13.659.967;-365.207;-2.341.466;-400.851;16.069;-6.730.320;7.075.481;3.801.332;1.470.324;-3.205.839;-6.759.490;-1.546.609;149.798;5.372.069;-7.217.324;-860.258;1.861.826;1.001.568;550.793;-476.797;1.075.564;49.199;2.661;201312;19,2;30;;
51152;B-I;HSBC;C;3;;201312;CURITIBA;PR;158.177.147;159.948.239;3.045.303;14.835.745;31.248.811;10.215.603;52;53.740.961;-3.883.872;0;44.588.408;231.667;1.486.638;4.438.923;149.939.207;12.478.890;7.094.487;278.318;34.924.602;227.531;55.003.829;4.987.674;23.411.658;6.765.492;30.177.150;26.470;1.011.602;9.661.728;5.113.870;43.956.884;10.009.031;9.831.979;-43.215;4.934.770;539.535;1.918.550;89.046;355.387;323.716;3.548;-3.255.208;-173.784;-469.592;0;-8.305;-1.967.698;2.289.965;493.873;781.390;-1.577.544;-2.218.464;-335.040;306.688;803.175;-606.114;-62.071;-75.724;-137.795;201.662;-107.082;-43.215;29.098;866;201312;11,8;35,2;;
10083;B-I;SAFRA;C;2;;201312;SAO PAULO;SP;128.227.498;130.111.584;706.778;28.827.748;36.820.499;1.389.010;3.695;45.713.543;-1.541.842;0;14.579.630;175.307;1.318.393;2.118.824;122.552.206;872.529;1.485.096;3.818.723;4.003.572;277;10.180.197;56.271.187;12.775.958;7.223.462;19.999.420;3.216;238.534;16.953.413;7.410.663;11.495.577;7.559.378;7.559.378;760.238;2.879.401;690.091;3.139.665;-272.189;118.333;36.730;0;-4.228.041;-305.665;-675.256;0;-8;-709.589;673.472;194.778;111.958;-675.578;-457.180;-631.622;291.984;1.809.921;-664.533;653.200;-16.094;637.106;123.132;0;760.238;5.792;103;201312;12,4;20,3;;
49944;B-I;BTG PACTUAL;C;2;;201312;RIO DE JANEIRO;RJ;100.588.331;115.901.631;907.632;27.451.418;41.427.321;239.917;0;14.295.977;-166.241;0;25.265.813;53.712;0;6.426.082;103.827.182;157.933;0;388.611;19.371.087;0;19.917.631;31.927.207;6.568.707;8.905.122;15.473.829;2.513;0;4.700.658;6.148.669;25.656.675;12.074.449;11.375.535;1.418.171;639.818;0;4.359.110;-411.398;0;11.001;3.605;-3.152.707;-679.661;0;-33.642;-1.805;-63.011;671.310;1.183.304;8.919;-292.664;-500.732;-177.608;232.566;1.340.866;-36.323;2.429.638;-465.287;1.964.351;-199.080;-347.101;1.418.171;1.451;10;201312;17,7;36,8;;
