50 Maiores Bancos e o Consolidado do Sistema Financeiro Nacional;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Arquivo Completo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Data-base: Março/2014;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Balancetes processados até:02/06/2014
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CI;TCB;Instituições;TD;TC;Obs;Data;Cidade;UF;Ativo Total (-);Ativo;Disponibilidades;Aplicações;TVM e Instrumentos;Relações;Relações;Oper, Créd, e Arrend, Mercantil;;Coobrigações em;Outros;Outros;Imobilizado de;Permanente;Passivo;Depósitos;Depósitos;Depósitos;Depósitos;Depósitos;Depósitos;Captações no;Recursos de Aceites e Emissão de Títulos;Recursos de Aceites e Emissão de Títulos;Recursos de Aceites e Emissão de Títulos;Relações;Relações;Obrigações por;Instrumentos Financeiros;Outras Obrigações e;Patrimônio;PR nível 1;Lucro;Receitas de Intermediação Financeira;Receitas de Intermediação Financeira;Receitas de Intermediação Financeira;Receitas de Intermediação Financeira;Receitas de Intermediação Financeira;Receitas de Intermediação Financeira;Receitas de Intermediação Financeira;Despesas de Intermediação Financeira;Despesas de Intermediação Financeira;Despesas de Intermediação Financeira;Despesas de Intermediação Financeira;Despesas de Intermediação Financeira;Despesas de Intermediação Financeira;Resultado;Outras Receitas/Despesas Operacionais;Outras Receitas/Despesas Operacionais;Outras Receitas/Despesas Operacionais;Outras Receitas/Despesas Operacionais;Outras Receitas/Despesas Operacionais;Outras Receitas/Despesas Operacionais;Outras Receitas/Despesas Operacionais;Outras Receitas/Despesas Operacionais;Resultado;Resultado não;Resultado antes;IR e;Particip,;Lucro;Nº de;Nº de;Data DLO;Índice de;Índice de ; ;
;;;;;;Balancete;;;Intermediação;Total;;Interfinanceiras;Financeiros Derivativos;Interfinanceiras;Interdependências;Total;Provisão p/ CL;cessões de crédito (**);Créditos;Valores e Bens;Arrendamento;(*);Exigível;À Vista;Poupança;Interfinanceiros;A Prazo;Outros;Total;Mercado Aberto;Letras Financeiras;Outros;Total;Interfinanceiras;Interdependências;Empréstimos e Repasses;Derivativos;Exercícios Futuros;Líquido;;Líquido;Operações de;Operações de;Operações com tít,;Operações com instrum,;Operações de;Aplicações;Operações de venda ou de;Captações;Empréstimos;Arrendam,;Operações;Operações de venda ou de;Provisão;Bruto;Receitas de;Rendas de;Despesas de;Outras;Despesas;Result, de Part,;Outras;Outras;Operacional;Operacional;da Tributação;Contrib;nos Lucros;Líquido;Func,;Agências;; Basiléia;imobilização; ;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
99000000;B-I;BB;C;1;1;201403;BRASILIA;DF;1.049.662.323;1.280.779.071;10.512.873;292.132.862;116.359.021;97.629.984;236.293;592.034.104;-23.129.312;6.763;163.469.388;1.370.943;2.002.702;28.160.212;1.208.682.330;70.700.643;144.111.158;27.446.934;233.125.697;7.117.325;482.501.757;284.198.076;8.921.172;131.578.532;140.499.704;4.791.810;2.664.445;109.716.619;3.924.126;180.385.792;72.096.740;80.571.363;2.874.596;18.982.055;345.793;8.843.920;-93.247;425.986;1.419.714;219.917;-17.448.571;-944.319;-307.826;0;-72.180;-4.407.969;6.963.273;3.038.833;1.551.517;-4.403.930;-4.433.605;-769.742;303.044;5.033.600;-3.187.622;4.095.368;94.435;4.189.803;-930.476;-384.733;2.874.596;124.744;5.474;201403;13,8;25,6;;
10069;B-I;ITAU;C;2;;201403;SAO PAULO;SP;934.123.562;1.033.933.857;15.866.986;182.990.798;172.397.672;85.567.435;119.438;353.406.417;-24.113.937;4.218.827;165.818.114;2.679.236;19.449.879;59.751.819;944.097.567;57.027.196;108.931.513;5.493.210;121.109.644;569.058;293.130.621;303.048.091;23.577.755;31.269.285;54.847.040;7.428.242;5.338.154;76.184.245;12.638.504;191.482.671;89.836.290;83.034.055;3.845.576;16.891.374;2.266.714;7.650.305;632.441;218.678;1.555.643;166.837;-12.718.557;-990.099;-2.168.581;0;-98.856;-4.223.342;9.182.557;3.113.640;1.965.400;-2.668.009;-4.079.141;-1.096.482;604.381;8.340.908;-7.927.814;7.435.440;165.040;7.600.480;-1.842.804;-1.912.099;3.845.576;118.251;3.924;201403;15,7;49,2;;
360305;B-I;CAIXA ECONOMICA FEDERAL;I;1;;201403;BRASILIA;DF;841.975.682;910.190.024;10.130.627;81.847.366;150.665.753;114.629.060;86.116;511.504.839;-24.041.804;1.275.831;54.007.815;1.185.324;0;10.174.928;883.503.154;24.310.490;214.614.189;3.394.763;122.177.665;10.360.260;374.857.368;136.886.164;28.466.851;68.296.409;96.763.260;2.664.526;1.075.633;168.601.295;165.944;102.488.964;26.686.870;55.006.591;1.510.275;14.479.827;0;6.093.357;-42.522;149.939;2.040.289;62.202;-11.708.580;-2.684.810;0;0;-92.385;-2.478.216;5.819.101;3.501.618;752.570;-4.284.210;-2.583.620;-756.646;172.160;2.510.456;-3.123.804;2.007.625;-67.722;1.939.903;-187.256;-242.373;1.510.275;126.098;3.319;201403;13,7;14,2;;
10045;B-I;BRADESCO;C;2;;201403;OSASCO;SP;677.859.897;790.685.851;11.783.621;126.849.106;167.513.752;61.277.059;548.957;296.391.503;-20.113.993;5.692.269;88.069.721;3.239.557;10.135.146;44.991.423;717.155.997;38.782.505;82.098.296;658.242;98.128.638;73.389;219.741.070;256.182.852;48.209.686;22.837.977;71.047.663;1.776.136;3.653.373;56.713.579;3.894.067;104.147.257;73.529.854;69.934.147;3.450.417;13.622.351;1.493.249;7.000.293;358.298;0;1.082.075;71.040;-10.788.561;-502.032;-1.316.657;-141.655;-18.082;-3.232.279;7.628.040;2.133.375;1.572.810;-2.714.113;-3.565.459;-807.950;782.880;2.753.272;-2.804.014;4.978.841;-103.567;4.875.274;-1.424.858;0;3.450.417;97.413;4.687;201403;15,7;47,1;;
30379;B-I;SANTANDER;C;3;;201403;SAO PAULO;SP;502.700.463;503.452.022;4.892.487;31.255.026;99.584.281;42.712.383;537;193.561.550;-14.549.095;378.133;115.299.050;1.966.975;7.806.886;20.921.943;445.271.507;14.252.795;35.023.334;3.825.708;80.240.375;137.997;133.480.210;93.678.286;30.498.498;33.293.193;63.791.691;2.276.211;1.454.248;29.987.110;4.531.931;116.071.821;58.180.516;57.848.264;553.378;9.791.254;774.362;4.929.411;322.876;746.650;796.852;1.229;-7.824.265;-203.722;-838.154;0;5.105;-3.005.193;5.496.405;1.779.323;700.385;-1.449.631;-3.225.700;-815.937;72.459;2.235.382;-3.511.302;1.281.384;186.995;1.468.379;-641.212;-273.788;553.378;49.199;2.663;201403;18,3;28,5;;
51152;B-I;HSBC;C;3;;201403;CURITIBA;PR;164.970.602;167.395.337;2.440.360;17.152.970;35.692.128;14.123.742;306;54.214.224;-3.693.785;0;41.784.465;281.206;1.344.397;4.055.324;157.421.549;11.663.105;7.252.571;339.604;37.656.087;221.913;57.133.280;7.085.902;26.297.265;6.832.755;33.130.020;1.267.894;913.514;8.375.140;5.884.350;43.631.448;9.973.788;9.744.500;-31.124;2.417.274;288.319;1.091.117;-68.239;273.832;202.513;2.410;-2.026.297;-184.409;-253.793;0;-1.705;-579.487;1.161.535;241.788;367.678;-768.687;-1.101.660;-161.685;136.938;508.009;-304.635;79.281;-17.968;61.313;-4.419;-88.017;-31.124;29.098;863;201403;13,2;27,5;;
10083;B-I;SAFRA;C;2;;201403;SAO PAULO;SP;118.563.023;131.807.928;601.528;35.995.786;32.332.024;2.029.398;3.062;46.331.320;-1.485.669;0;12.303.940;203.299;1.273.016;2.220.224;123.975.534;667.190;1.523.531;4.125.883;3.529.991;268;9.846.862;58.149.039;13.206.317;8.552.177;21.758.494;1.992.207;240.737;15.992.026;6.337.026;9.659.142;7.832.394;7.822.535;363.114;1.463.908;168.835;1.492.435;29.473;9.326;30.803;0;-2.065.620;-110.129;-172.608;0;0;-214.288;632.135;100.870;54.692;-262.840;-180.755;-70.712;1.049;467.954;-206.006;536.387;-30.786;505.601;-142.488;0;363.114;5.792;104;201403;12,8;22,8;;
49944;B-I;BTG PACTUAL;C;2;;201403;RIO DE JANEIRO;RJ;102.278.601;125.038.017;434.909;35.672.523;40.587.350;400.997;0;12.977.013;-188.545;0;28.024.575;48.434;0;7.080.762;112.030.678;156.580;0;395.623;19.832.497;0;20.384.700;34.565.097;7.543.685;8.382.292;15.925.977;7.154;0;5.464.747;8.417.961;27.265.041;13.007.339;12.339.010;935.652;283.495;0;1.876.444;43.910;670.742;8.114;2.475;-1.823.037;-243.216;0;0;-29;-62.635;756.263;547.636;18.457;-120.650;-153.607;-34.617;108.952;593.381;-147.417;1.568.398;-66.950;1.501.448;-420.035;-145.762;935.652;1.451;9;201403;17,1;39,9;;
