50 Maiores Bancos e o Consolidado do Sistema Financeiro Nacional;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Arquivo Completo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Data-base: Junho/2014;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Balancetes processados até:02/09/2014
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CI;TCB;Instituições;TD;TC;Obs;Data;Cidade;UF;Ativo Total (-);Ativo;Disponibilidades;Aplicações;TVM e Instrumentos;Relações;Relações;Oper, Créd, e Arrend, Mercantil;;Coobrigações em;Outros;Outros;Imobilizado de;Permanente;Passivo;Depósitos;Depósitos;Depósitos;Depósitos;Depósitos;Depósitos;Captações no;Recursos de Aceites e Emissão de Títulos;Recursos de Aceites e Emissão de Títulos;Recursos de Aceites e Emissão de Títulos;Relações;Relações;Obrigações por;Instrumentos Financeiros;Outras Obrigações e;Patrimônio;PR nível 1;Lucro;Receitas de Intermediação Financeira;Receitas de Intermediação Financeira;Receitas de Intermediação Financeira;Receitas de Intermediação Financeira;Receitas de Intermediação Financeira;Receitas de Intermediação Financeira;Receitas de Intermediação Financeira;Despesas de Intermediação Financeira;Despesas de Intermediação Financeira;Despesas de Intermediação Financeira;Despesas de Intermediação Financeira;Despesas de Intermediação Financeira;Despesas de Intermediação Financeira;Resultado;Outras Receitas/Despesas Operacionais;Outras Receitas/Despesas Operacionais;Outras Receitas/Despesas Operacionais;Outras Receitas/Despesas Operacionais;Outras Receitas/Despesas Operacionais;Outras Receitas/Despesas Operacionais;Outras Receitas/Despesas Operacionais;Outras Receitas/Despesas Operacionais;Resultado;Resultado não;Resultado antes;IR e;Particip,;Lucro;Nº de;Nº de;Data DLO;Índice de;Índice de ; ;
;;;;;;Balancete;;;Intermediação;Total;;Interfinanceiras;Financeiros Derivativos;Interfinanceiras;Interdependências;Total;Provisão p/ CL;cessões de crédito (**);Créditos;Valores e Bens;Arrendamento;(*);Exigível;À Vista;Poupança;Interfinanceiros;A Prazo;Outros;Total;Mercado Aberto;Letras Financeiras;Outros;Total;Interfinanceiras;Interdependências;Empréstimos e Repasses;Derivativos;Exercícios Futuros;Líquido;;Líquido;Operações de;Operações de;Operações com tít,;Operações com instrum,;Operações de;Aplicações;Operações de venda ou de;Captações;Empréstimos;Arrendam,;Operações;Operações de venda ou de;Provisão;Bruto;Receitas de;Rendas de;Despesas de;Outras;Despesas;Result, de Part,;Outras;Outras;Operacional;Operacional;da Tributação;Contrib;nos Lucros;Líquido;Func,;Agências;; Basiléia;imobilização; ;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
99000000;B-I;BB;C;1;1;201406;BRASILIA;DF;1.075.207.333;1.303.651.713;11.467.805;297.419.315;120.116.472;97.146.264;228.568;609.939.620;-23.764.605;6.433;162.268.137;1.166.211;1.742.231;25.921.695;1.233.608.068;67.949.459;146.460.984;28.842.030;229.631.614;7.205.411;480.089.499;291.527.770;8.807.289;140.538.234;149.345.523;5.183.513;3.928.855;111.080.064;3.770.728;188.682.116;70.043.646;84.276.305;5.706.040;38.581.997;679.693;18.683.663;-724.596;863.271;2.887.011;345.921;-36.301.942;-1.919.119;-606.041;0;-49.388;-9.157.355;13.283.115;6.370.948;3.167.505;-8.879.877;-8.725.726;-1.847.163;983.614;9.344.485;-5.845.757;7.851.144;129.431;7.980.575;-1.500.297;-774.236;5.706.040;124.744;5.490;201406;14,2;22,6;;
10069;B-I;ITAU;C;2;;201406;SAO PAULO;SP;946.944.063;1.029.025.053;20.439.603;159.547.464;192.487.891;86.896.027;118.935;361.491.029;-23.656.774;3.941.033;151.400.689;2.646.730;17.087.691;60.565.767;935.620.102;57.923.515;110.840.114;4.062.038;117.972.924;519.976;291.318.567;304.359.099;25.120.560;31.427.564;56.548.124;7.836.943;5.586.870;76.328.917;12.185.459;181.456.123;93.404.950;86.477.959;8.317.679;34.564.360;4.400.112;16.310.558;1.196.568;334.750;3.192.212;240.714;-26.093.443;-1.678.804;-4.246.706;0;-225.154;-8.659.524;19.335.643;6.339.547;4.112.361;-5.450.265;-8.220.781;-2.220.348;1.388.953;12.333.290;-13.079.653;14.538.747;230.274;14.769.021;-3.745.446;-2.705.896;8.317.679;63.897;3.917;201406;16;48,4;;
360305;B-I;CAIXA ECONOMICA FEDERAL;I;1;;201406;BRASILIA;DF;888.830.134;963.315.687;11.485.920;85.275.228;165.932.694;115.348.017;82.011;544.184.727;-25.104.994;1.162.222;54.400.159;1.302.403;0;10.409.521;935.071.167;24.221.193;220.990.257;4.545.541;131.156.550;10.854.559;391.768.100;145.922.774;32.634.164;78.404.003;111.038.167;2.991.812;915.062;177.593.962;295.350;104.545.940;28.244.519;56.480.962;3.389.467;30.429.462;0;13.292.402;-892.471;299.977;4.242.683;123.083;-24.185.304;-5.450.286;0;0;19.380;-6.429.669;11.449.257;7.223.300;1.544.999;-8.529.511;-5.307.158;-1.451.424;305.222;4.968.832;-6.465.809;3.737.708;-285.891;3.451.817;289.447;-351.797;3.389.467;103.904;3.342;201406;13,3;14,4;;
10045;B-I;BRADESCO;C;2;;201406;OSASCO;SP;672.009.760;793.507.842;11.149.915;137.472.050;172.067.117;55.873.165;320.342;297.037.271;-20.498.212;5.660.378;81.385.311;3.104.169;9.355.497;46.241.217;716.543.442;36.315.265;84.318.918;524.084;92.977.093;104.990;214.240.351;260.792.099;54.801.710;21.779.931;76.581.641;1.988.364;3.762.883;54.124.428;4.726.690;100.326.986;76.964.400;71.892.296;7.234.300;27.886.947;2.852.550;14.770.744;1.138.725;0;2.221.748;151.869;-22.311.371;-799.553;-2.510.322;-222.072;-111.405;-6.852.419;16.215.441;4.273.206;3.182.403;-5.624.775;-7.149.371;-1.665.289;1.843.051;4.823.040;-5.364.217;10.533.489;-235.222;10.298.267;-3.063.966;0;7.234.300;74.781;4.689;201406;15,8;46,8;;
30379;B-I;SANTANDER;C;3;;201406;SAO PAULO;SP;500.484.194;502.784.192;4.816.942;32.501.584;107.129.809;45.327.676;436;195.049.936;-14.149.795;348.434;103.061.754;1.881.540;7.287.260;19.877.049;443.822.723;14.529.034;35.778.901;4.045.679;79.909.649;128.958;134.392.221;97.404.139;33.407.414;34.187.061;67.594.475;2.492.149;1.509.798;30.970.273;4.483.434;104.976.236;58.961.469;58.802.433;1.092.942;19.589.885;1.538.982;7.476.347;570.520;1.226.063;1.697.665;2.087;-14.037.715;-414.811;-1.618.937;0;-30.553;-5.515.529;10.484.004;3.593.569;1.414.753;-2.992.980;-6.422.282;-1.637.469;170.480;4.931.030;-7.099.809;2.441.296;341.580;2.782.876;-1.144.507;-545.427;1.092.942;21.216;2.627;201406;17,9;26,7;;
51152;B-I;HSBC;C;3;;201406;CURITIBA;PR;161.726.408;163.277.372;2.403.418;17.396.985;34.965.016;13.801.772;111;55.034.367;-3.474.903;0;38.036.593;271.582;1.209.715;3.632.716;153.261.413;11.895.205;7.222.455;546.732;38.164.590;238.555;58.067.538;5.124.461;27.760.103;6.968.541;34.728.644;1.423.814;956.035;8.858.844;4.789.449;39.312.628;10.015.959;9.791.204;-16.296;4.753.767;547.742;2.269.547;98.294;386.583;432.268;4.642;-4.233.961;-349.432;-479.770;0;-3.271;-1.131.146;2.295.263;507.267;734.503;-1.563.817;-2.236.473;-335.637;295.824;968.172;-549.373;115.729;-34.975;80.754;73.991;-171.042;-16.296;26.353;854;201406;13;24,5;;
10083;B-I;SAFRA;C;2;;201406;SAO PAULO;SP;116.305.166;133.137.729;669.296;38.145.293;31.294.096;2.081.699;4.406;45.647.267;-1.442.233;0;12.873.417;254.475;1.343.697;2.266.318;125.027.992;616.694;1.595.664;3.759.580;3.967.475;260;9.939.675;59.508.324;13.841.251;8.601.615;22.442.866;2.223.688;194.529;13.676.430;6.010.335;11.032.146;8.109.737;8.094.514;716.952;3.004.552;288.561;3.325.841;-4.643;32.103;70.001;0;-4.466.529;-208.935;-277.593;0;0;-501.992;1.261.366;205.419;114.427;-519.153;-398.706;-139.886;31.139;754.257;-446.737;862.126;-44.364;817.762;-100.811;0;716.952;5.369;105;201406;12,6;22,5;;
49944;B-I;BTG PACTUAL;C;2;;201406;RIO DE JANEIRO;RJ;92.347.501;117.004.288;1.097.207;37.277.282;37.513.963;357.773;0;13.090.819;-243.682;0;18.971.606;36.058;0;8.903.263;103.579.171;204.436;0;422.594;18.932.424;0;19.559.454;33.899.267;9.315.171;8.194.335;17.509.506;4.288;0;4.189.437;8.431.633;19.985.584;13.425.118;12.741.745;1.806.774;577.634;0;3.961.437;475.471;1.029.987;15.227;3.273;-3.934.863;-744.683;0;0;-43;-134.546;1.248.894;1.100.514;31.601;-241.060;-342.626;-102.509;-44.969;1.245.453;-236.735;2.658.563;-67.120;2.591.443;-431.108;-353.560;1.806.774;847;9;201406;16;49,5;;
