was;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Arquivo Completo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Data-base: Setembro/2014;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Balancetes processados até:27/11/2014
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CI;TCB;Instituições;TD;TC;Obs;Data;Cidade;UF;Ativo Total (-);Ativo;Disponibilidades;Aplicações;TVM e Instrumentos;Relações;Relações;Oper, Créd, e Arrend, Mercantil;;Coobrigações em;Outros;Outros;Imobilizado de;Permanente;Passivo;Depósitos;Depósitos;Depósitos;Depósitos;Depósitos;Depósitos;Captações no;Recursos de Aceites e Emissão de Títulos;Recursos de Aceites e Emissão de Títulos;Recursos de Aceites e Emissão de Títulos;Relações;Relações;Obrigações por;Instrumentos Financeiros;Outras Obrigações e;Patrimônio;PR nível 1;Lucro;Receitas de Intermediação Financeira;Receitas de Intermediação Financeira;Receitas de Intermediação Financeira;Receitas de Intermediação Financeira;Receitas de Intermediação Financeira;Receitas de Intermediação Financeira;Receitas de Intermediação Financeira;Despesas de Intermediação Financeira;Despesas de Intermediação Financeira;Despesas de Intermediação Financeira;Despesas de Intermediação Financeira;Despesas de Intermediação Financeira;Despesas de Intermediação Financeira;Resultado;Outras Receitas/Despesas Operacionais;Outras Receitas/Despesas Operacionais;Outras Receitas/Despesas Operacionais;Outras Receitas/Despesas Operacionais;Outras Receitas/Despesas Operacionais;Outras Receitas/Despesas Operacionais;Outras Receitas/Despesas Operacionais;Outras Receitas/Despesas Operacionais;Resultado;Resultado não;Resultado antes;IR e;Particip,;Lucro;Nº de;Nº de;Data DLO;Índice de;Índice de ; ;
;;;;;;Balancete;;;Intermediação;Total;;Interfinanceiras;Financeiros Derivativos;Interfinanceiras;Interdependências;Total;Provisão p/ CL;cessões de crédito (**);Créditos;Valores e Bens;Arrendamento;(*);Exigível;À Vista;Poupança;Interfinanceiros;A Prazo;Outros;Total;Mercado Aberto;Letras Financeiras;Outros;Total;Interfinanceiras;Interdependências;Empréstimos e Repasses;Derivativos;Exercícios Futuros;Líquido;;Líquido;Operações de;Operações de;Operações com tít,;Operações com instrum,;Operações de;Aplicações;Operações de venda ou de;Captações;Empréstimos;Arrendam,;Operações;Operações de venda ou de;Provisão;Bruto;Receitas de;Rendas de;Despesas de;Outras;Despesas;Result, de Part,;Outras;Outras;Operacional;Operacional;da Tributação;Contrib;nos Lucros;Líquido;Func,;Agências;; Basiléia;imobilização; ;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
99000000;B-I;BB;C;1;1;201409;BRASILIA;DF;1.055.123.306;1.326.982.264;13.348.141;317.667.717;116.761.494;86.924.619;272.694;623.079.147;-24.722.492;6.430;164.566.562;1.160.707;1.467.374;26.456.300;1.255.493.311;68.616.847;148.995.605;28.531.079;216.462.420;6.457.399;469.063.349;321.683.036;8.834.183;145.909.299;154.743.482;3.237.638;2.339.818;108.021.786;2.918.187;193.486.016;71.488.952;88.810.291;2.823.106;23.127.322;363.808;12.344.718;621.516;0;1.503.061;133.590;-20.898.788;-6.787.583;-329.511;-32.315;-22.607;-4.757.858;5.265.353;3.368.148;1.718.232;-4.699.237;-4.313.690;-1.021.093;1.632.419;3.696.868;-2.769.895;2.877.105;25.983;2.903.088;299.659;-379.639;2.823.106;0;5.493;201409;16;22;;
10069;B-I;ITAU;C;2;;201409;SAO PAULO;SP;936.669.787;1.069.551.529;16.438.085;211.025.138;180.303.934;67.914.257;129.528;371.911.396;-24.252.502;4.093.393;164.704.136;2.632.987;14.735.003;64.009.566;971.334.232;59.518.561;113.675.506;3.641.785;119.528.237;627.007;296.991.096;312.369.339;24.261.567;34.404.054;58.665.621;4.873.869;4.732.192;80.819.302;16.805.669;196.077.144;98.217.297;91.169.366;5.068.929;19.093.963;2.057.969;8.332.448;698.367;922.181;1.606.115;122.980;-15.503.363;-5.780.464;-2.046.721;0;-125.053;-4.786.825;4.591.597;3.407.946;2.173.522;-2.973.601;-4.157.912;-890.059;3.962.071;5.812.910;-7.063.930;4.862.544;153.588;5.016.132;956.966;-904.170;5.068.929;0;3.858;201409;16,6;49,4;;
360305;B-I;CAIXA ECONOMICA FEDERAL;I;1;;201409;BRASILIA;DF;935.948.709;1.018.864.588;13.335.393;103.543.892;166.829.933;124.329.806;81.737;568.696.369;-25.764.156;1.094.199;54.987.940;1.423.447;0;11.400.227;990.342.653;24.573.919;228.727.162;4.738.348;137.322.929;7.679.716;403.042.074;162.868.667;35.457.768;89.266.459;124.724.227;1.764.991;636.206;187.282.119;79.348;109.945.021;28.521.935;62.380.140;1.897.979;17.675.360;0;7.198.587;1.230.566;0;2.364.543;41.932;-14.998.891;-3.269.550;0;-655.151;-1.309.506;-3.279.943;4.997.947;3.874.505;845.037;-4.314.084;-2.817.016;-728.239;208.899;3.260.117;-3.115.033;2.212.133;-124.881;2.087.252;165.813;-355.086;1.897.979;0;3.362;201409;15,3;14,3;;
10045;B-I;BRADESCO;C;2;;201409;OSASCO;SP;679.052.030;848.838.310;10.921.850;181.150.740;181.111.660;48.382.465;257.849;304.360.024;-21.261.066;5.817.938;85.269.125;2.974.919;8.522.129;47.148.617;769.426.425;33.514.032;87.293.425;676.556;91.264.278;105.975;212.854.266;305.139.889;57.590.198;25.625.187;83.215.385;1.260.232;3.381.363;56.543.804;5.077.858;101.953.627;79.411.885;74.126.359;3.880.921;15.017.277;1.200.327;8.972.513;-1.283.927;800.012;1.094.011;84.392;-13.507.954;-5.606.617;-1.041.556;0;-103.376;-3.759.704;1.865.398;2.231.225;1.694.643;-3.488.236;-3.590.696;-588.544;4.573.813;3.002.400;-3.018.711;2.681.292;-110.533;2.570.759;1.310.164;0;3.880.921;0;4.668;201409;16,3;46,8;;
30379;B-I;SANTANDER;C;3;;201409;SAO PAULO;SP;507.341.158;523.560.479;4.846.965;56.076.511;105.592.231;33.554.032;1.826;201.735.617;-14.156.609;321.251;106.960.758;1.912.148;6.725.043;20.311.958;464.362.610;13.957.541;36.627.149;3.747.317;81.164.373;155.509;135.651.889;109.471.334;36.570.554;36.899.242;73.469.796;1.522.585;1.458.759;35.623.840;5.486.443;101.677.964;59.197.870;59.087.978;579.021;9.991.699;1.714.877;4.865.845;-164.439;677.304;847.092;779;-9.750.595;-855.003;-1.623.003;0;-440;-2.089.006;3.615.110;1.832.009;740.392;-1.542.812;-3.325.202;-877.276;86.444;3.893.614;-4.789.237;-366.958;84.809;-282.149;1.110.427;-249.257;579.021;0;2.632;201409;18,8;27,7;;
51152;B-I;HSBC;C;3;;201409;CURITIBA;PR;145.926.088;149.876.571;2.143.442;22.209.148;30.574.931;12.750.371;1.121;56.070.329;-3.845.273;0;24.378.443;252.289;1.123.980;4.217.790;139.898.474;12.101.603;6.699.962;636.337;36.531.813;276.327;56.246.041;6.404.592;29.067.742;7.417.429;36.485.171;808.878;992.560;8.856.887;4.892.184;25.212.159;9.978.097;9.323.933;-404.458;2.783.298;251.245;1.066.799;550.221;0;224.816;2.587;-2.339.293;-194.878;-218.235;-154.017;-1.563;-1.083.738;887.242;262.392;381.032;-871.771;-1.213.304;-166.340;100.146;631.568;-572.884;-561.919;-131.858;-693.777;363.296;-73.978;-404.458;0;853;201409;12,7;29,2;;
49944;B-I;BTG PACTUAL;C;2;;201409;RIO DE JANEIRO;RJ;115.946.143;138.660.142;1.333.687;37.180.242;53.909.201;222.178;0;15.473.699;-363.936;195.658;21.412.923;116.513;0;9.375.634;124.439.314;224.941;0;690.829;21.041.067;0;21.956.837;34.104.285;9.947.606;8.809.290;18.756.896;6.573;0;4.604.712;22.563.228;22.446.782;14.220.828;12.807.960;803.740;496.694;0;1.782.192;-554.398;0;5.505;0;-1.918.986;-1.133.279;0;-13.767;-4.053;-65.777;-1.405.869;563.458;11.413;-128.162;-207.426;-52.355;1.067.433;649.900;-30.345;468.047;-1.458;466.589;448.990;-111.841;803.740;0;9;201409;16;49,9;;
10083;B-I;SAFRA;C;2;;201409;SAO PAULO;SP;121.330.534;135.671.802;839.041;34.602.597;39.496.440;950.254;4.024;45.192.423;-1.433.587;0;11.940.475;229.660;1.477.643;2.372.831;127.209.764;720.738;1.488.650;2.837.785;4.099.309;111;9.146.592;60.784.985;14.482.158;9.376.679;23.858.837;1.840.734;253.572;13.069.620;7.768.999;10.486.425;8.462.038;8.455.110;447.168;1.639.375;136.363;1.701.497;-363.804;223.923;25.323;0;-2.433.834;-211.147;-115.529;0;0;-239.524;362.643;117.722;63.727;-261.595;-225.185;-64.156;329.412;289.482;-152.291;459.759;-35.486;424.273;22.896;0;447.168;0;108;201409;12,7;22,8;;
