50 Maiores Bancos e o Consolidado do Sistema Financeiro Nacional;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Arquivo Completo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Data-base: Dezembro/2014;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Balancetes processados até:30/03/2015
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CI;TCB;Instituições;TD;TC;Obs;Data;Cidade;UF;Ativo Total (-);Ativo;Disponibilidades;Aplicações;TVM e Instrumentos;Relações;Relações;Oper, Créd, e Arrend, Mercantil;;Coobrigações em;Outros;Outros;Imobilizado de;Permanente;Passivo;Depósitos;Depósitos;Depósitos;Depósitos;Depósitos;Depósitos;Captações no;Recursos de Aceites e Emissão de Títulos;Recursos de Aceites e Emissão de Títulos;Recursos de Aceites e Emissão de Títulos;Relações;Relações;Obrigações por;Instrumentos Financeiros;Outras Obrigações e;Patrimônio;PR nível 1;Lucro;Receitas de Intermediação Financeira;Receitas de Intermediação Financeira;Receitas de Intermediação Financeira;Receitas de Intermediação Financeira;Receitas de Intermediação Financeira;Receitas de Intermediação Financeira;Receitas de Intermediação Financeira;Despesas de Intermediação Financeira;Despesas de Intermediação Financeira;Despesas de Intermediação Financeira;Despesas de Intermediação Financeira;Despesas de Intermediação Financeira;Despesas de Intermediação Financeira;Resultado;Outras Receitas/Despesas Operacionais;Outras Receitas/Despesas Operacionais;Outras Receitas/Despesas Operacionais;Outras Receitas/Despesas Operacionais;Outras Receitas/Despesas Operacionais;Outras Receitas/Despesas Operacionais;Outras Receitas/Despesas Operacionais;Outras Receitas/Despesas Operacionais;Resultado;Resultado não;Resultado antes;IR e;Particip,;Lucro;Nº de;Nº de;Data DLO;Índice de;Índice de ; ;
;;;;;;Balancete;;;Intermediação;Total;;Interfinanceiras;Financeiros Derivativos;Interfinanceiras;Interdependências;Total;Provisão p/ CL;cessões de crédito (**);Créditos;Valores e Bens;Arrendamento;(*);Exigível;À Vista;Poupança;Interfinanceiros;A Prazo;Outros;Total;Mercado Aberto;Letras Financeiras;Outros;Total;Interfinanceiras;Interdependências;Empréstimos e Repasses;Derivativos;Exercícios Futuros;Líquido;;Líquido;Operações de;Operações de;Operações com tít,;Operações com instrum,;Operações de;Aplicações;Operações de venda ou de;Captações;Empréstimos;Arrendam,;Operações;Operações de venda ou de;Provisão;Bruto;Receitas de;Rendas de;Despesas de;Outras;Despesas;Result, de Part,;Outras;Outras;Operacional;Operacional;da Tributação;Contrib;nos Lucros;Líquido;Func,;Agências;; Basiléia;imobilização; ;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
99000000;B-I;BB                                                ;C;1;1;201412;BRASILIA;DF;1.075.528.342;1.324.464.414;13.404.403;304.089.951;121.449.254;67.249.016;593.631;645.028.781;-26.151.389;6.032;169.215.623;835.495;1.252.032;27.497.616;1.253.788.951;73.546.791;148.698.890;30.968.746;210.158.238;6.307.424;469.680.089;308.656.232;9.052.553;149.012.411;158.064.964;31.463;5.290.841;113.602.126;3.443.159;195.020.078;70.675.464;89.538.218;5.833.139;46.678.075;666.404;25.349.751;1.024.812;0;2.781.635;255.477;-42.343.930;-12.713.613;-595.385;-228.997;-44.297;-10.019.447;10.810.485;7.006.234;3.468.771;-9.608.355;-8.908.990;-2.087.532;3.549.139;7.751.815;-5.894.247;6.087.320;55.086;6.142.406;482.936;-792.204;5.833.139;0;5.524;201412;16,1;22,2;;
10069;B-I;ITAU                                              ;C;2;;201412;SAO PAULO;SP;1.013.567.240;1.117.848.197;17.290.115;222.617.544;191.811.164;63.784.897;24.720;390.476.483;-25.869.148;4.475.773;175.825.866;3.276.465;12.502.242;66.107.850;1.014.769.134;63.359.176;118.449.430;19.125.081;109.235.094;662.708;310.831.489;333.841.395;22.543.139;37.112.655;59.655.794;435.832;4.824.312;87.890.801;17.736.769;199.552.742;103.079.063;96.231.766;10.311.204;38.759.116;4.059.726;18.088.256;719.968;1.482.601;2.702.311;306.270;-31.509.703;-11.165.410;-4.030.699;0;-341.019;-10.483.520;8.587.897;6.962.937;4.378.123;-6.157.374;-8.672.197;-2.714.671;8.301.530;13.791.590;-14.849.389;9.628.446;273.285;9.901.731;2.125.095;-1.715.621;10.311.204;0;3.885;201412;16,9;49,1;;
360305;B-I;CAIXA ECONOMICA FEDERAL                                     ;I;1;;201412;BRASILIA;DF;968.564.128;1.064.674.796;13.242.976;120.506.953;166.931.496;119.025.069;561.883;597.108.812;-26.520.347;1.035.744;59.834.289;1.558.184;0;12.425.480;1.038.452.030;27.002.940;236.836.068;3.663.877;143.348.461;8.487.409;419.338.756;172.769.884;37.875.454;99.873.623;137.749.077;335.101;1.533.644;182.881.637;53.718;123.790.213;26.222.766;59.237.193;3.702.318;35.919.247;0;15.334.117;2.352.988;0;4.693.625;65.698;-31.076.033;-6.635.744;0;-1.329.934;-2.348.044;-6.725.992;10.249.928;7.881.377;1.754.644;-9.340.738;-5.610.689;-1.440.528;436.076;6.254.249;-7.325.229;2.859.090;-328.759;2.530.331;2.015.000;-843.013;3.702.318;0;3.391;201412;16,1;14,4;;
10045;B-I;BRADESCO                                          ;C;2;;201412;OSASCO;SP;694.588.027;883.438.773;14.293.519;202.186.184;174.795.093;51.636.851;394.602;313.669.882;-21.758.328;6.404.739;88.973.430;2.995.602;7.841.777;48.410.162;801.850.758;33.180.708;92.154.815;646.285;86.455.630;70.474;212.507.911;329.061.666;61.585.244;29.878.062;91.463.306;1.089.508;4.895.387;58.980.308;3.283.876;100.568.795;81.588.015;77.198.803;7.880.304;30.272.098;2.227.050;19.615.505;-2.488.546;1.605.530;2.089.173;165.218;-28.052.981;-10.293.150;-1.919.878;0;-209.918;-7.523.887;5.486.214;4.531.292;3.442.117;-6.533.567;-7.574.272;-1.180.924;9.377.765;4.073.143;-5.736.374;5.885.394;-306.459;5.578.935;2.301.369;0;7.880.304;0;4.665;201412;16,5;47,3;;
30379;B-I;SANTANDER                                         ;C;3;;201412;SAO PAULO;SP;590.119.954;598.224.807;4.856.627;39.808.570;136.594.184;30.308.460;0;207.049.291;-13.987.983;294.802;165.505.011;1.993.667;6.396.883;19.700.097;539.999.882;15.912.435;37.938.936;3.759.842;86.121.479;154.495;143.887.187;118.106.764;37.319.127;37.691.689;75.010.816;13.850;2.677.813;39.784.934;8.773.780;151.744.738;58.224.926;58.582.855;1.218.969;20.231.985;1.582.943;10.318.261;-169.833;1.050.125;1.494.557;16.203;-19.852.463;-1.407.971;-1.406.557;0;-2.571;-4.423.146;7.431.533;3.851.351;1.481.445;-3.254.120;-6.664.742;-1.558.039;167.183;7.703.884;-9.691.241;-532.746;129.430;-403.316;2.052.026;-429.741;1.218.969;0;2.640;201412;17,5;29,4;;
51152;B-I;HSBC                                              ;C;3;;201412;CURITIBA;PR;164.703.618;167.971.558;2.570.137;27.541.470;29.130.085;11.179.585;1.041;56.241.941;-4.029.370;0;40.220.797;264.461;1.101.054;3.750.357;158.239.252;13.166.392;6.882.777;637.063;36.768.478;272.779;57.727.489;5.483.604;30.819.934;6.852.625;37.672.559;11.392;1.043.045;11.216.516;4.328.119;40.756.528;9.732.307;8.603.804;-532.785;5.513.040;463.189;2.350.095;782.569;0;410.142;8.031;-4.683.254;-417.351;-396.562;-112.613;-264.585;-1.990.675;1.662.026;589.533;766.601;-2.059.655;-2.462.222;-353.561;226.346;1.327.570;-954.814;-1.258.176;-59.625;-1.317.801;828.224;-43.208;-532.785;0;854;201412;13,1;25;;
49944;B-I;BTG PACTUAL                                       ;C;2;;201412;RIO DE JANEIRO;RJ;127.758.567;154.593.402;1.263.516;38.888.881;61.138.175;1.163.787;0;16.986.101;-853.795;180.876;26.736.159;201.492;0;9.069.086;139.914.535;169.577;0;769.819;20.341.508;0;21.280.905;38.459.726;10.220.598;9.945.384;20.165.982;3.063;0;4.718.794;26.808.237;28.477.829;14.678.867;16.736.911;1.561.384;1.114.532;0;4.026.097;-1.124.994;1.078;9.987;0;-4.040.938;-2.169.615;0;0;-7.405;-317.035;-2.508.293;1.078.306;22.379;-264.958;-429.004;-171.934;1.694.551;1.576.908;-277.924;720.031;26.851;746.882;1.011.477;-196.974;1.561.384;0;9;201412;17,5;39,3;;
10083;B-I;SAFRA                                             ;C;2;;201412;SAO PAULO;SP;122.480.072;140.675.131;840.623;41.051.399;36.017.479;1.373.938;3.470;46.547.940;-1.931.048;0;12.358.734;242.529;1.647.425;2.522.642;131.941.576;898.258;1.660.211;2.795.386;4.427.429;121;9.781.404;63.012.906;15.336.205;10.672.082;26.008.287;10.716;224.867;16.310.038;6.052.269;10.541.090;8.733.555;9.517.538;830.183;3.317.598;314.529;3.773.779;-611.222;503.961;49.381;0;-5.304.327;-479.240;-269.109;0;0;-1.008.158;287.192;231.833;130.555;-744.938;-521.452;-120.316;648.995;636.254;-296.716;251.407;-33.948;217.459;612.725;0;830.183;0;108;201412;14;21,8;;
