50 Maiores Bancos e o Consolidado do Sistema Financeiro Nacional;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Arquivo Completo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Data-base: setembro/2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Balancetes processados até: 27/11/2013
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CI;TCB;Instituições;TD;TC;Obs;Data;Cidade;UF;Ativo Total (-);Ativo;Disponibilidades;Aplicações;TVM e Instrumentos;Relações;Relações;Oper, Créd, e Arrend, Mercantil;;Coobrigações em;Outros;Outros;Imobilizado de;Permanente;Passivo;Depósitos;Depósitos;Depósitos;Depósitos;Depósitos;Depósitos;Captações no;Recursos de Aceites e Emissão de Títulos;Recursos de Aceites e Emissão de Títulos;Recursos de Aceites e Emissão de Títulos;Relações;Relações;Obrigações por;Instrumentos Financeiros;Outras Obrigações e;Patrimônio;PR nível 1;Lucro;Receitas de Intermediação Financeira;Receitas de Intermediação Financeira;Receitas de Intermediação Financeira;Receitas de Intermediação Financeira;Receitas de Intermediação Financeira;Receitas de Intermediação Financeira;Receitas de Intermediação Financeira;Despesas de Intermediação Financeira;Despesas de Intermediação Financeira;Despesas de Intermediação Financeira;Despesas de Intermediação Financeira;Despesas de Intermediação Financeira;Despesas de Intermediação Financeira;Resultado;Outras Receitas/Despesas Operacionais;Outras Receitas/Despesas Operacionais;Outras Receitas/Despesas Operacionais;Outras Receitas/Despesas Operacionais;Outras Receitas/Despesas Operacionais;Outras Receitas/Despesas Operacionais;Outras Receitas/Despesas Operacionais;Outras Receitas/Despesas Operacionais;Resultado;Resultado não;Resultado antes;IR e;Particip,;Lucro;Nº de;Nº de;Data DLO;Índice de;Índice de ;;
;;;;;;Balancete;;;Intermediação;Total;;Interfinanceiras;Financeiros Derivativos;Interfinanceiras;Interdependências;Total;Provisão p/ CL;cessões de crédito (**);Créditos;Valores e Bens;Arrendamento;(*);Exigível;À Vista;Poupança;Interfinanceiros;A Prazo;Outros;Total;Mercado Aberto;Letras Financeiras;Outros;Total;Interfinanceiras;Interdependências;Empréstimos e Repasses;Derivativos;Exercícios Futuros;Líquido;;Líquido;Operações de;Operações de;Operações com tít,;Operações com instrum,;Operações de;Aplicações;Operações de venda ou de;Captações;Empréstimos;Arrendam,;Operações;Operações de venda ou de;Provisão;Bruto;Receitas de;Rendas de;Despesas de;Outras;Despesas;Result, de Part,;Outras;Outras;Operacional;Operacional;da Tributação;Contrib;nos Lucros;Líquido;Func,;Agências;; Basiléia;imobilização;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;crédito;arrend, mercantil;val, mobiliários;financ, derivativos;Câmbio;Compulsórias;transf, de ativos financeiros;no mercado;e repasses;mercantil;de câmbio;transf, de ativos financeiros;para CL;;Prestação de Serviços;tarifas bancárias;Pessoal;Despesas Administ,;Tributárias;em Coligadas e Controladas;Receitas Operacionais;Despesas Operacionais;;;Lucro e Part,;Social;;;;;;;;;
99000000;B-I;BB;C;1;1;201309;BRASILIA;DF;983.327.368;1.179.180.588;16.253.794;233.197.593;123.936.333;98.682.515;296.653;547.948.114;-21.487.741;81.815;149.779.087;1.750.650;2.616.443;26.207.146;1.114.708.014;68.558.918;134.215.616;21.013.334;240.706.070;6.749.715;471.243.653;245.654.668;8.386.898;101.245.881;109.632.779;4.990.802;2.552.794;97.053.540;4.575.657;179.004.120;64.472.574;75.972.957;2.741.241;17.692.018;467.851;7.614.243;-123.294;297.037;1.252.957;178.017;-14.337.886;-1.949.417;-418.052;0;-75.692;-3.873.632;6.724.150;3.054.720;1.641.200;-4.232.811;-3.780.566;-992.703;720.610;2.739.888;-2.300.009;3.574.479;35.816;3.610.295;-502.877;-366.176;2.741.241;125.319;5.417;201309;15,3;21,8;;
10069;B-I;ITAU;C;2;;201309;SAO PAULO;SP;904.072.056;1.011.197.822;14.265.073;185.501.296;184.099.429;73.780.130;98.040;334.324.912;-24.851.052;359.642;154.342.650;2.243.730;25.668.851;61.724.763;924.730.924;44.548.187;98.227.575;7.679.769;109.091.553;498.903;260.045.987;301.843.495;35.743.792;34.038.219;69.782.011;7.630.043;5.365.159;72.515.855;9.805.858;197.742.515;86.466.898;85.658.857;3.580.390;15.863.945;3.458.951;6.791.070;329.362;399.899;1.226.499;118.037;-11.349.748;-991.020;-3.343.962;0;-14.414;-4.496.751;7.991.868;3.035.882;1.819.159;-2.670.809;-3.785.677;-904.668;1.302.043;4.094.808;-6.126.981;4.755.625;278.093;5.033.718;-752.451;-700.880;3.580.390;118.130;3.895;201309;18;49,8;;
360305;B-I;CAIXA ECONOMICA FEDERAL;I;1;;201309;BRASILIA;DF;779.976.166;858.538.302;7.083.407;89.906.506;154.920.174;110.581.217;1.004.290;454.772.049;-22.438.958;0;52.508.843;1.033.808;0;9.166.967;831.964.507;24.647.245;199.755.476;1.248.114;115.195.030;11.416.012;352.261.877;149.078.642;21.646.687;51.162.650;72.809.337;2.796.291;921.953;149.744.493;24.575;104.327.338;26.573.795;40.910.253;1.865.359;12.478.545;0;5.194.733;384.707;0;1.674.162;95.818;-9.684.737;-2.322.831;0;-138.764;-62.587;-2.355.391;5.263.655;3.481.996;726.941;-3.956.313;-2.448.951;-633.344;116.780;2.430.431;-3.299.121;1.682.074;25.600;1.707.674;347.695;-190.009;1.865.359;123.969;3.176;201309;17;11,1;;
10045;B-I;BRADESCO;C;2;;201309;OSASCO;SP;654.854.780;778.670.753;16.058.806;144.755.261;163.885.437;51.686.430;614.459;280.560.623;-20.469.731;1.079.187;84.057.241;3.212.855;12.044.180;42.265.193;711.441.648;39.596.802;76.487.681;845.703;100.697.886;74.987;217.703.058;262.343.179;40.099.965;21.202.017;61.301.982;1.870.473;3.114.624;51.294.635;3.239.000;110.574.696;67.229.105;71.631.970;3.070.481;13.248.250;2.051.636;7.354.809;-239.571;578.691;835.016;51.696;-10.791.257;-905.546;-1.859.199;0;7.596;-3.236.374;7.095.747;1.920.368;1.530.140;-2.770.789;-3.638.835;-651.690;1.696.200;1.058.403;-2.453.124;3.786.420;-125.860;3.660.560;-590.079;0;3.070.481;97.909;4.706;201309;16,4;45,1;;
30379;B-I;SANTANDER;C;3;;201309;SAO PAULO;SP;462.686.715;475.021.713;5.722.457;44.774.644;74.825.695;38.298.234;1.041;193.478.896;-14.570.443;445.625;98.870.116;1.778.449;9.160.513;22.682.110;410.576.120;14.342.908;31.259.234;3.754.869;81.316.785;130.857;130.804.653;85.025.481;28.643.425;32.974.661;61.618.086;2.427.545;1.344.112;27.756.766;5.424.597;96.174.880;64.445.593;64.590.027;843.946;9.828.184;1.008.253;4.388.380;239.840;91.234;642.312;3.386;-6.460.443;-203.856;-1.303.778;0;8.368;-3.495.856;4.746.024;1.844.304;722.654;-1.549.056;-3.378.652;-806.509;42.870;2.195.887;-3.063.777;753.745;438.886;1.192.631;-124.486;-224.200;843.946;50.230;2.633;201309;20,7;32,1;;
51152;B-I;HSBC;C;3;;201309;CURITIBA;PR;160.357.832;163.089.322;3.080.692;16.523.920;28.541.397;11.110.262;1;52.880.368;-3.768.026;58.690;48.233.084;287.782;1.634.768;4.565.074;153.118.243;11.149.029;6.711.929;221.163;35.291.548;255.874;53.629.544;6.648.504;19.631.679;6.067.882;25.699.561;1.409.942;1.013.626;10.331.330;5.479.524;48.906.211;9.971.078;10.048.699;-196.388;2.629.504;307.725;817.128;-4.441;173.144;145.777;1.470;-1.518.868;-74.877;-272.532;0;-1.099;-1.053.375;1.149.556;240.593;387.606;-757.836;-1.077.233;-184.627;143.868;577.548;-516.576;-37.101;-53.120;-90.221;-13.332;-92.835;-196.388;29.830;868;201309;12,8;35;;
10083;B-I;SAFRA;C;2;;201309;SAO PAULO;SP;121.477.002;131.057.913;462.631;37.994.713;36.091.044;1.295.935;3.363;43.201.530;-1.466.122;0;9.588.025;191.228;1.443.795;2.251.771;123.919.370;773.864;1.313.500;3.431.949;3.566.158;263;9.085.734;63.130.881;12.637.084;7.172.374;19.809.458;2.173.677;204.930;14.568.674;5.780.407;9.165.609;7.138.543;7.154.360;301.000;1.346.453;428.943;1.503.591;-104.015;64.154;18.512;0;-2.010.436;-120.243;-418.780;0;-7;-258.406;449.766;98.492;55.407;-236.133;-213.094;-71.222;107.601;307.601;-88.079;410.339;4.859;415.198;-114.199;0;301.000;5.718;104;201309;13,9;23,9;;
49944;B-I;BTG PACTUAL;C;2;;201309;RIO DE JANEIRO;RJ;96.884.801;119.583.327;465.523;41.925.099;38.817.014;264.657;0;11.849.947;-159.236;0;19.279.318;56.569;0;7.084.436;107.987.055;144.032;0;337.283;19.527.652;0;20.008.967;40.997.630;5.780.963;8.207.309;13.988.272;6.466;0;3.924.481;6.422.840;22.638.399;11.596.272;11.586.427;614.791;282.923;0;2.256.744;-352.487;172.408;7.049;0;-1.799.293;-1.496.937;0;0;-1.619;-24.813;-956.025;511.941;7.303;-112.741;-151.536;-68.681;-8.068;1.678.746;-35.967;864.972;1.238;866.210;-142.294;-109.125;614.791;1.448;10;201309;18,8;38;;
